	neuroNER_ID	neuroNER_Name
296	ABA_REGION:18	nodular fissure
297	ABA_REGION:180	Gustatory areas, layer 2/3
298	ABA_REGION:181	Nucleus of reunions
299	ABA_REGION:182	propriohypothalamic pathways
300	ABA_REGION:183	Anterior olfactory nucleus, lateral part
301	ABA_REGION:184	Frontal pole, cerebral cortex
302	ABA_REGION:185	Parapyramidal nucleus, deep part
303	ABA_REGION:186	Lateral habenula
304	ABA_REGION:187	Gustatory areas, layer 5
305	ABA_REGION:188	Accessory olfactory bulb, glomerular layer
306	ABA_REGION:189	Rhomboid nucleus
307	ABA_REGION:19	Induseum griseum
308	ABA_REGION:190	pyramid
309	ABA_REGION:191	Anterior olfactory nucleus, medial part
310	ABA_REGION:192	Cortical amygdalar area, anterior part, layer 1
311	ABA_REGION:193	Parapyramidal nucleus, superficial part
312	ABA_REGION:194	Lateral hypothalamic area
313	ABA_REGION:195	Prelimbic area, layer 2
314	ABA_REGION:196	Accessory olfactory bulb, granular layer
315	ABA_REGION:197	Rostral linear nucleus raphe
316	ABA_REGION:198	pyramidal decussation
317	ABA_REGION:199	Anterior olfactory nucleus, posteroventral part
318	ABA_REGION:2	Primary somatosensory area, mouth, layer 6b
319	ABA_REGION:20	Entorhinal area, lateral part, layer 2
320	ABA_REGION:200	Cortical amygdalar area, anterior part, layer 2
321	ABA_REGION:201	Primary somatosensory area, barrel field, layer 2/3
322	ABA_REGION:202	Medial vestibular nucleus
323	ABA_REGION:203	Linear nucleus of the medulla
324	ABA_REGION:204	Accessory olfactory bulb, mitral layer
325	ABA_REGION:205	retriculospinal tract, lateral part
326	ABA_REGION:206	Nucleus raphe magnus
327	ABA_REGION:207	Area postrema
328	ABA_REGION:208	Cortical amygdalar area, anterior part, layer 3
329	ABA_REGION:209	Lateral vestibular nucleus
330	ABA_REGION:21	lateral olfactory tract, general
331	ABA_REGION:210	Lateral mammillary nucleus
332	ABA_REGION:211	Anterior cingulate area, dorsal part, layer 2/3
333	ABA_REGION:212	Main olfactory bulb, glomerular layer
334	ABA_REGION:213	retriculospinal tract, medial part
335	ABA_REGION:214	Red nucleus
